 COUNTRY/MONTH,January_2020,Febuary_2020,March_2020,April_2020,May_2020,June_2020,July_2020,Augest 2020,Septemper 2020,October_2020,November_2020
World,7825,75422,723717,2339582,2891996,4249523,7067515,7963815,8456249,11948764,4687826
Afghanistan,0,1,140,1808,12576,16713,5304,1620,1092,2171,814
Albania,0,0,223,543,356,1344,2731,4183,4138,7116,3572
Algeria,0,1,583,3264,5419,4304,16260,14315,7222,6283,4400
Andorra,0,0,370,373,21,91,67,202,842,2699,718
Angola,0,0,7,20,57,192,802,1546,2281,5364,2066
Anguilla,0,0,2,1,0,0,0,0,0,0,0
Antigua and Barbuda,0,0,7,17,1,41,25,3,7,26,4
Argentina,0,0,966,3306,11929,46054,116728,222243,335370,420570,85003
Armenia,0,0,532,1534,7216,16260,13008,5200,6151,39912,17653
Aruba,0,0,50,50,1,2,17,1877,1937,538,128
Australia,6,18,4532,2189,439,582,8536,9367,1393,519,76
Austria,0,7,9611,5746,1274,1028,3343,6209,17389,56836,51065
Azerbaijan,0,1,272,1493,3480,11722,14592,4749,3810,14055,11237
Bahamas,0,0,14,66,22,2,404,1659,1736,2741,303
Bahrain,0,38,477,2406,7872,15446,14516,10819,18848,11044,1990
Bangladesh,0,0,49,7054,37505,97193,93088,75933,51221,44321,13874
Barbados,0,0,34,46,12,5,13,63,17,46,6
Belarus,0,1,104,13076,28477,20132,5875,4022,6573,19239,8780
Belgium,0,1,15295,34643,8977,2969,7706,15807,36964,319818,57091
Belize,0,0,3,15,0,6,24,946,949,1519,714
Benin,0,0,6,63,163,955,583,375,195,303,102
Bermuda,0,0,27,84,29,6,10,13,12,18,10
Bhutan,0,0,4,3,36,34,24,123,57,67,11
Bolivia,0,0,107,1003,8482,22533,43109,40734,18673,6990,844
Bonaire Sint Eustatius and Saba,0,0,0,6,1,0,4,4,91,47,1
Bosnia and Herzegovina,0,0,353,1336,804,1850,7101,8345,7433,20931,14270
Botswana,0,0,0,23,12,140,629,829,1539,3470,1193
Brazil,0,1,4578,73583,420278,869755,1241907,1252209,915211,739136,73367
British Virgin Islands,0,0,3,3,2,0,0,29,34,1,0
Brunei,0,0,127,11,3,0,0,3,2,2,0
Bulgaria,0,0,359,1088,1066,2318,6589,4770,4357,30494,24119
Burkina Faso,0,0,222,419,212,106,158,251,664,445,92
Burundi,0,0,0,15,27,128,217,58,61,76,32
Cambodia,1,0,108,13,3,16,93,40,3,13,7
Cameroon,0,0,142,1690,4072,6688,4663,1887,1696,955,628
Canada,3,13,7408,44163,38592,13728,11878,12155,29021,75038,32114
Cape Verde,0,0,5,108,308,744,1208,1479,2048,2794,675
Cayman Islands,0,0,12,61,68,58,4,2,6,29,10
Central African Republic,0,0,6,44,912,2651,992,95,125,41,13
Chad,0,0,7,45,707,107,69,77,181,290,64
Chile,0,0,2449,12436,79973,181141,77537,56438,51326,47271,12987
China,7734,69641,2886,1703,184,652,2709,2406,633,771,261
Colombia,0,0,798,5413,22025,66807,190977,321918,216104,239109,80736
Comoros,0,0,0,0,106,166,106,45,56,58,26
Congo,0,0,19,201,367,658,2131,603,1110,201,89
Costa Rica,0,0,330,383,334,2222,14021,22409,34905,34262,7497
Cote d'Ivoire,0,0,168,1070,1561,6415,6764,1970,1721,1023,140
Croatia,0,5,785,1272,184,479,2346,5052,6257,30167,20700
Cuba,0,0,170,1297,558,315,257,1376,1558,1270,496
Curacao,0,0,9,7,3,5,5,28,313,574,153
Cyprus,0,0,230,613,100,53,88,403,256,2474,1770
Czech Republic,0,0,3002,4577,1651,2575,4537,8025,43476,255830,91155
Democratic Republic of Congo,0,0,98,402,2466,3973,2071,1034,586,675,302
Denmark,0,2,2575,6431,2625,1118,974,2975,10764,17761,9896
Djibouti,0,0,26,1051,2117,1462,425,304,31,143,49
Dominica,0,0,11,5,0,2,0,2,4,18,0
Dominican Republic,0,0,901,5751,10256,14908,36099,26326,17659,14432,3850
Ecuador,0,0,1966,22709,13896,17094,28705,29278,22101,31398,7760
Egypt,0,1,608,4659,18181,43305,27003,4970,4352,4297,1825
El Salvador,0,0,32,345,2140,3656,10057,9499,3252,4464,1700
Equatorial Guinea,0,0,14,301,991,695,1070,1870,89,58,4
Eritrea,0,0,12,27,0,152,88,39,57,86,30
Estonia,0,1,714,951,199,122,64,322,942,1456,1354
Ethiopia,0,0,23,107,933,4783,10769,34507,23462,21205,3886
Faeroe Islands,0,0,168,19,0,0,33,191,52,31,3
Falkland Islands,0,0,0,13,0,0,0,0,0,0,0
Fiji,0,0,5,13,0,0,9,1,4,2,0
Finland,1,2,1310,3593,1920,383,214,654,1815,6018,1887
France,5,51,44493,83892,23054,12764,22313,91370,272747,781294,455340
French Polynesia,0,0,36,22,2,2,0,358,1246,5596,2733
Gabon,0,0,7,269,2379,2739,1958,1153,247,216,54
Gambia,0,0,4,7,14,22,356,2560,616,91,14
Georgia,0,2,96,419,240,171,232,327,4379,33070,21744
Germany,4,52,61856,97206,22363,12777,14439,33683,46838,229534,153115
Ghana,0,0,152,1519,6097,9583,17791,9063,2277,1573,1147
Gibraltar,0,0,69,72,20,16,10,98,106,302,100
Greece,0,4,1208,1364,339,475,1011,5733,7989,19073,19502
Greenland,0,0,10,1,2,0,1,0,0,3,0
Grenada,0,0,9,11,3,0,1,0,0,4,4
Guam,0,0,60,85,28,84,99,991,1096,2238,552
Guatemala,0,0,36,549,4154,12670,31417,25086,17056,16371,3923
Guernsey,0,0,45,206,1,0,0,0,4,11,12
Guinea,0,0,16,1335,2355,1645,1891,2129,1263,1438,354
Guinea-Bissau,0,0,2,75,1179,358,367,224,119,79,10
Guyana,0,0,8,70,74,83,166,833,1612,1297,371
Haiti,0,0,15,61,1789,4068,1479,797,538,307,73
Honduras,0,0,141,630,4323,13724,22608,18748,15924,20790,3620
Hungary,0,0,492,2283,1092,278,360,1456,20500,48860,39457
Iceland,0,1,1085,711,9,16,50,233,590,2102,281
India,1,2,1248,31799,149093,384697,1072030,1982375,2604518,1911356,416538
Indonesia,0,0,1414,8357,16002,29319,51244,65717,110671,124221,30771
Iran,0,388,41107,52162,55293,76255,76325,72040,80067,151315,77534
Iraq,0,7,623,1373,4176,40972,74112,109914,127113,112343,27916
Ireland,0,0,2910,17343,4676,533,565,2733,6980,25319,4335
Isle of Man,0,0,42,271,23,0,0,0,4,13,4
Israel,0,7,4466,11361,1178,7429,45938,43641,122906,76775,5861
Italy,0,885,100851,101852,29073,7772,6722,21060,44793,334663,287430
Jamaica,0,0,38,358,185,117,166,1493,4025,2623,501
Japan,11,216,1723,12135,2763,1742,15181,34091,15145,17382,7692
Jersey,0,0,63,223,22,11,16,39,35,165,69
Jordan,0,0,268,183,283,394,63,775,8083,59257,40015
Kazakhstan,0,0,325,2880,7653,10961,67259,41595,10034,8992,6177
Kenya,0,0,50,334,1504,4302,13723,14144,4321,15419,8691
Kosovo,0,0,110,698,262,1729,5305,5230,2240,3754,4827
Kuwait,0,45,221,3474,22452,19332,21005,18107,19932,20769,6406
Kyrgyzstan,0,0,84,662,1002,3548,30509,8093,2771,12209,4512
Laos,0,0,9,10,0,0,1,2,1,1,0
Latvia,0,0,376,473,216,52,111,165,336,3950,2416
Lebanon,0,3,443,275,470,554,2589,12536,21507,41152,14707
Lesotho,0,0,0,0,2,25,577,462,510,371,20
Liberia,0,0,3,138,139,490,411,123,39,83,16
Libya,0,0,8,53,69,632,2460,10201,20591,26614,7489
Liechtenstein,0,0,64,19,0,0,6,19,12,403,265
Lithuania,0,1,483,891,295,146,246,812,1704,9245,10876
Luxembourg,0,0,1988,1781,247,240,2360,9,1806,8703,5347
Macedonia,0,1,284,1157,722,4060,4399,3304,3859,12662,9312
Madagascar,0,0,44,84,630,1380,8610,4095,1534,591,255
Malawi,0,0,0,36,243,945,2757,1555,236,151,28
Malaysia,7,17,2601,3319,1817,875,327,370,1801,19764,9310
Maldives,0,0,17,260,1395,664,1383,3948,2527,1449,343
Mali,0,0,18,464,768,923,349,251,317,455,131
Malta,0,0,156,306,155,52,58,1137,1171,2907,1097
Marshall Islands,0,0,0,0,0,0,0,0,0,1,0
Mauritania,0,0,5,2,476,3666,2121,752,452,203,129
Mauritius,0,0,128,204,3,6,3,2,35,60,11
Mexico,2,12,2432,25776,87607,149681,209885,166047,142632,134737,49014
Moldova,0,0,298,3473,4327,8259,7590,12753,15329,23172,7145
Monaco,0,1,35,30,1,3,14,47,83,141,131
Mongolia,0,0,12,26,141,41,71,10,12,33,22
Montenegro,0,0,91,231,2,177,2572,1717,5785,7491,4739
Montserrat,0,0,5,6,0,0,2,0,0,0,0
Morocco,0,0,556,3765,3459,4510,10969,38140,59784,94111,41487
Mozambique,0,0,8,68,168,639,925,2013,4735,4221,991
Myanmar,0,0,14,136,74,75,54,434,11638,39071,9881
Namibia,0,0,11,5,7,173,1856,5313,3775,1767,304
Nepal,1,0,4,52,1344,11847,6299,19014,37697,91977,26218
Netherlands,0,2,11748,27052,7455,3966,3740,16108,47349,223554,68599
New Caledonia,0,0,16,2,1,2,1,1,4,1,1
New Zealand,0,1,646,482,25,24,32,177,93,121,29
Nicaragua,0,0,4,10,745,1411,1502,822,676,344,77
Niger,0,0,20,693,243,119,59,42,20,24,23
Nigeria,0,1,130,1597,8127,15278,17556,11176,4782,4044,1399
Northern Mariana Islands,0,0,2,12,8,8,12,14,14,22,8
Norway,0,6,4220,3441,744,444,317,1371,3245,5775,3662
Oman,0,6,173,2095,8149,28637,40099,6385,13041,15849,3706
Pakistan,0,2,1623,14134,53737,139841,68968,17544,16414,20730,11846
Palestine,0,0,115,392,119,1817,12395,14225,21052,14627,5419
Panama,0,0,1075,5303,6640,19767,31406,27874,19788,21014,6660
Papua New Guinea,0,0,1,7,0,3,61,387,75,55,8
Paraguay,0,0,65,184,715,1227,3016,11988,22906,22495,4993
Peru,0,0,950,32981,121740,126694,125127,239674,164602,88412,22153
Philippines,1,2,2081,6128,9012,19214,52936,128022,91907,69630,17462
Poland,0,0,2055,10585,10931,10583,10877,21839,23092,250872,205591
Portugal,0,0,6408,18284,7511,9709,8956,6900,16949,62555,42052
Puerto Rico,0,0,174,1259,2285,3532,9322,16276,15619,17276,6322
Qatar,0,0,693,11871,42698,39844,15354,8115,6958,6810,1860
Romania,0,3,1949,10026,7155,7449,23009,37194,38629,110172,68165
Russia,0,2,1834,97563,297176,244581,193343,155827,177479,432171,174358
Rwanda,0,0,70,155,134,642,993,2026,816,298,88
Saint Kitts and Nevis,0,0,7,8,0,0,2,0,2,0,0
Saint Lucia,0,0,9,8,1,1,6,1,1,51,53
Saint Vincent and the Grenadines,0,0,1,15,10,3,23,8,4,10,2
San Marino,0,1,228,334,108,27,1,11,17,201,115
Sao Tome and Principe,0,0,0,14,465,234,157,26,15,34,17
Saudi Arabia,0,0,1453,19949,61982,103052,87783,40602,19366,12693,3712
Senegal,0,0,162,720,2653,3163,3408,3450,1389,660,103
Serbia,0,0,785,7939,2657,2907,10925,6152,2114,11658,17610
Seychelles,0,0,10,1,0,0,103,22,7,10,5
Sierra Leone,0,0,0,116,736,598,368,204,200,143,16
Singapore,10,85,746,14797,18725,9295,8148,4962,971,261,53
Sint Maarten (Dutch part),0,0,3,73,1,0,51,335,196,146,91
Slovakia,0,0,336,1055,130,144,600,1611,5698,45517,20404
Slovenia,0,0,763,655,55,112,554,726,2622,27023,12651
Solomon Islands,0,0,0,0,0,0,0,0,0,8,5
Somalia,0,0,3,579,1334,988,308,98,278,353,288
South Africa,0,0,1326,4024,25617,113297,337905,142887,47516,51110,13596
South Korea,4,2924,6855,979,703,1332,1505,5642,3865,2699,1042
South Sudan,0,0,0,34,960,1012,316,197,181,203,52
Spain,0,54,104213,110916,24246,9842,39251,174336,306330,416490,143154
Sri Lanka,1,0,119,529,971,422,772,198,362,7050,3505
Sudan,0,0,6,369,4425,4458,2238,1693,417,159,325
Suriname,0,0,8,2,4,487,1149,2359,854,338,38
Swaziland,0,0,9,82,192,512,1782,1984,901,447,94
Sweden,0,11,4349,16608,17422,28669,9622,7552,8913,35899,17416
Switzerland,0,12,15400,13912,1438,807,3364,6973,10845,100977,57432
Syria,0,0,10,33,79,147,469,1965,1445,1535,532
Taiwan,8,30,267,123,13,5,20,21,26,41,23
Tajikistan,0,0,0,0,3807,2093,1466,1184,1176,1251,359
Tanzania,0,0,19,461,29,0,0,0,0,0,0
Thailand,14,28,1609,1303,127,90,139,102,152,216,60
Timor,0,0,1,23,0,0,0,3,1,2,0
Togo,0,0,34,75,324,210,284,469,363,553,204
Trinidad and Tobago,0,0,85,31,1,9,38,1519,2780,1205,181
Tunisia,0,0,312,668,96,96,342,2171,13720,42408,11306
Turkey,0,0,10827,106762,45514,35510,31278,38655,48726,55882,21101
Turks and Caicos Islands,0,0,5,7,0,29,63,403,179,17,4
Uganda,0,0,33,48,332,457,277,1781,5089,4393,1993
Ukraine,0,0,480,9386,13338,20424,25166,50280,85858,173797,81602
United Arab Emirates,4,17,590,11318,21967,14350,12260,9184,23400,38418,10635
United Kingdom,0,30,29651,137469,87240,29151,18760,32166,111689,543589,202268
United States,5,60,164554,875289,730475,820168,1904462,1502149,1193898,1856366,924224
United States Virgin Islands,0,0,30,36,3,15,301,749,184,44,43
Uruguay,0,0,324,306,191,111,311,342,448,1049,432
Uzbekistan,0,0,149,1853,1552,4744,15260,18093,14868,10109,2160
Vatican,0,0,6,4,2,0,0,0,0,14,0
Venezuela,0,0,135,196,1128,4071,12329,28009,28495,17226,3294
Vietnam,2,11,190,64,57,28,154,531,54,83,36
Wallis and Futuna,0,0,0,0,0,0,0,0,0,1,0
Western Sahara,0,0,0,6,17,185,558,0,0,0,0
Yemen,0,0,0,6,304,818,598,227,82,28,7
Zambia,0,0,35,62,960,511,3987,6470,2690,1700,539
Zimbabwe,0,0,7,27,140,400,2518,3320,1425,525,169
